,locus_ID,20190709-RC1-AM-BOTTOMTPM,20190709-RC7-AM-BOTTOMTPM,20190716-RC1-AM-BOTTOMTPM,20190716-RC1-AM-TOPTPM,20190716-RC2-AM-BOTTOMTPM,20190716-RC7-AM-BOTTOMTPM,20190716-RC9-AM-BOTTOMTPM,20190723-RC1-AM-BOTTOMTPM,20190723-RC2-AM-BOTTOMTPM,20190723-RC7-AM-BOTTOMTPM,20190723-RC9-AM-BOTTOMTPM,20190730-RC1-AM-BOTTOMTPM,20190730-RC2-AM-BOTTOM-BUOYTPM,20190730-RC7-AM-BOTTOMTPM,20190730-RC9-AM-BOTTOMTPM
29,NODE_433_length_16511_cov_12.296548,149.389243,189.906059,188.661421,459.379263,170.613651,174.855584,134.11308,442.941103,327.21268,394.383307,283.112822,145.42169,134.48909,201.988355,219.470134
30,NODE_454_length_15956_cov_13.748884,143.32155,269.590968,241.228011,422.873353,199.388058,164.23367,143.028694,467.319118,383.394965,395.534025,303.835099,161.281823,153.611396,211.696855,263.241001
31,NODE_465_length_15530_cov_12.849305,131.788096,215.491907,159.366393,437.859792,240.034337,189.44726,177.252796,348.875046,377.095836,419.544816,294.540181,127.075507,167.731714,230.992409,214.946699
32,NODE_483_length_15254_cov_17.140141,165.772865,268.411357,282.479973,499.054661,244.417127,252.535293,198.100541,609.424824,503.493929,550.630015,378.854343,275.674949,236.100314,278.975877,245.292851
33,NODE_495_length_14986_cov_12.127051,124.567154,219.407364,232.509644,453.923501,166.89829,185.677879,125.489064,502.586059,333.28975,415.602049,289.277359,80.187612,204.565277,236.681026,226.674734
34,NODE_535_length_14071_cov_14.303796,141.322594,231.708873,293.418976,570.422154,200.497522,159.822173,152.841943,475.566729,392.591467,403.783782,320.540506,177.109895,207.10699,234.438365,290.718191
35,NODE_543_length_13922_cov_13.689623,168.947945,227.936053,263.827033,511.280265,192.998881,142.421464,169.102171,440.553611,364.709811,408.450186,294.544868,129.672064,203.986029,204.127439,281.653217
36,NODE_625_length_12726_cov_12.913030,180.146364,211.790323,158.773337,403.65901,204.027357,172.69218,148.038819,437.792717,360.68084,348.918986,314.220496,209.480828,205.118849,213.531221,235.707545
37,NODE_651_length_12405_cov_14.118300,180.001975,243.904317,236.985014,475.759588,183.655601,171.174322,184.469651,568.692651,380.821768,415.655569,350.256585,173.363156,210.489976,246.096322,223.279209
38,NODE_654_length_12350_cov_12.229280,127.058335,242.578627,230.612982,391.388354,173.413938,143.277137,168.95111,359.892569,341.324712,354.974203,284.820466,111.452842,211.438617,193.02408,172.887509
39,NODE_746_length_11265_cov_11.238537,112.646185,210.353785,212.273149,388.919992,141.73319,152.48789,89.730061,382.506901,347.893023,405.119218,334.107647,122.33781,163.815153,178.421643,143.615014
40,NODE_774_length_11017_cov_12.863893,137.164387,236.94498,183.709318,457.93494,231.943859,214.452288,183.555324,372.000991,407.157369,403.810638,304.11745,156.413934,139.626968,258.535367,120.66381
41,NODE_794_length_10818_cov_13.898727,184.435964,158.137235,178.625551,442.923708,164.54286,193.625825,130.88535,490.01544,442.637658,438.231282,312.990106,111.533224,199.122911,240.122877,256.521303
42,NODE_1309_length_7648_cov_11.893718,87.487543,197.409312,253.997883,489.548871,150.01292,204.783934,133.010413,381.243481,317.411857,436.136575,268.216216,158.721913,151.74976,242.508908,136.911115
43,NODE_1348_length_7486_cov_12.421343,113.808303,234.055703,173.063825,383.846279,190.118477,165.997502,199.3894,408.679626,420.738165,398.849198,311.320792,185.405245,227.478728,225.33478,202.132687
44,NODE_1422_length_7245_cov_10.629485,117.676765,162.778566,127.80736,425.248905,164.863237,104.470221,121.822615,334.130296,345.932844,371.972485,264.256238,119.817448,160.364714,209.695366,225.084333
45,NODE_1472_length_7097_cov_12.519597,171.693625,234.387993,221.891606,542.898341,187.798102,198.144694,124.417619,391.441338,406.837685,301.443431,328.781167,183.558132,98.267592,237.96258,221.675246
46,NODE_1551_length_6853_cov_10.890262,133.461087,212.009496,202.898162,345.112712,114.090271,142.164576,109.108183,447.317757,227.471808,312.422575,289.908078,76.09818,192.369557,129.48179,178.698199
47,NODE_1610_length_6674_cov_10.883366,210.259298,217.831656,194.555826,377.718602,96.530849,210.976079,142.674513,384.785891,324.922767,290.218701,235.165153,78.187866,116.261542,177.383237,192.350783
48,NODE_1629_length_6627_cov_11.927419,174.953807,146.275846,237.95681,442.579182,250.020756,204.331843,143.709684,430.645988,390.441495,367.621931,289.513327,78.755716,199.077995,204.196014,167.328164
49,NODE_1673_length_6496_cov_14.416084,140.974858,237.943996,185.714675,610.22712,170.116133,191.860948,188.583257,527.455882,380.924708,397.818517,327.736563,120.574319,250.993407,260.518634,242.697229
50,NODE_1791_length_6219_cov_9.584848,98.276264,170.755163,224.043077,364.637066,133.401301,156.99618,87.63969,436.65203,294.144695,255.264656,179.7888,126.082556,187.458696,183.883538,178.592892
51,NODE_1795_length_6214_cov_10.791687,78.685889,190.427075,149.48491,340.055967,244.770393,130.937881,109.639928,460.013183,374.117283,316.978565,286.775095,154.22808,212.628258,340.806103,188.147743
52,NODE_1843_length_6089_cov_8.499834,110.47215,234.323931,152.623445,389.566884,204.475029,178.253391,123.141939,364.02353,300.587129,357.468941,258.372548,143.161079,204.330079,201.831803,172.902081
53,NODE_2105_length_5558_cov_10.628748,132.358911,240.929601,217.839489,316.25392,149.677857,176.156739,172.112237,425.611786,233.835336,217.517363,327.939356,78.616061,252.426397,206.382041,211.006325
54,NODE_2203_length_5389_cov_13.638358,159.404638,203.490175,207.551101,432.093826,188.830198,212.135584,177.663325,452.675366,362.075269,334.070306,410.154791,81.154738,144.757447,220.937202,206.932839
55,NODE_2336_length_5190_cov_9.901850,118.360506,193.9063,197.745521,519.053778,285.486494,157.498729,92.3385,373.692846,405.901666,341.577604,284.256714,151.852635,120.375081,123.037678,249.083079
56,NODE_2481_length_4997_cov_13.464994,196.925123,268.848905,186.905251,467.095717,185.519927,207.428941,82.298243,417.38128,391.379428,402.54774,260.410672,157.906065,312.911383,298.532417,211.924311
57,NODE_2588_length_4877_cov_14.182704,151.447096,281.947893,344.94376,564.12384,256.797139,134.327874,140.645149,501.786331,401.322465,449.196248,346.426388,161.919367,144.381928,209.910785,144.875953
58,NODE_2922_length_4508_cov_10.941837,123.213618,163.121623,166.245866,334.854256,206.291357,121.400587,152.551466,528.338382,401.187223,335.816502,360.173976,136.614154,156.596586,161.292452,144.069606
59,NODE_3080_length_4338_cov_10.005837,42.740326,212.190435,86.485343,444.602351,75.126176,138.950956,158.742578,316.565473,284.245829,301.495067,350.387365,142.166938,144.842256,157.97492,177.189523
60,NODE_3100_length_4316_cov_9.239615,85.932593,177.760463,108.675578,434.874783,215.77715,114.286353,79.790349,267.99183,267.888904,227.316483,294.900815,122.501739,236.610502,208.438484,191.829235
61,NODE_3199_length_4232_cov_10.976538,87.70305,174.166747,221.807888,357.538467,176.165707,129.592808,211.723038,222.232576,337.201161,358.543167,384.593021,250.052022,111.450034,232.993946,223.754242
62,NODE_3534_length_3977_cov_9.942121,62.369565,232.236958,212.878027,434.018992,82.19526,152.030667,121.599333,419.43182,359.690296,359.959429,196.227352,133.368756,178.30341,237.735165,343.126338
63,NODE_4008_length_3642_cov_9.072484,136.722598,212.12806,155.476722,418.082734,192.983888,60.575266,133.261892,199.894884,372.921868,279.457756,332.4459,121.819627,130.260322,260.578259,196.238602
64,NODE_4012_length_3640_cov_14.829289,119.700926,195.269841,259.275748,562.572123,218.840071,75.762374,247.628162,660.031977,458.423976,419.427113,332.63702,195.023277,184.033191,296.281619,310.889613
65,NODE_4529_length_3348_cov_12.051321,186.638887,268.731702,254.557611,425.121712,154.4934,148.792776,249.445135,567.621644,349.065849,412.889285,245.636422,292.68397,284.443113,142.287756,232.187991
66,NODE_5104_length_3097_cov_9.078567,81.024649,221.263469,214.769075,205.078278,91.423378,107.620768,67.671116,236.958947,340.948821,301.980608,324.601023,115.512379,102.879656,154.429468,213.248505
67,NODE_5228_length_3052_cov_8.583584,61.712388,173.632926,218.082718,329.75595,108.309148,127.499144,114.533579,240.643126,320.594647,276.991643,270.787011,58.653495,182.827613,228.114509,157.501794
68,NODE_5328_length_3016_cov_13.855454,166.637033,258.556472,189.264149,456.92859,125.331578,165.980809,139.166168,414.245789,363.581833,480.81513,309.967006,89.087501,185.121144,173.239072,239.229102
69,NODE_5436_length_2981_cov_10.690021,105.437972,157.055795,223.524036,622.721726,190.313827,168.027034,305.253367,419.381112,302.353456,263.665654,362.093332,90.191052,133.862011,248.462163,80.731876
70,NODE_5512_length_2957_cov_10.723294,106.341047,190.081723,193.221671,358.891935,159.946276,225.946091,118.408651,547.381606,331.458542,419.340136,304.334597,151.606183,108.004018,162.146947,162.848469
71,NODE_5882_length_2835_cov_13.198201,177.890808,132.491631,235.612634,487.820716,133.750582,157.454579,148.544544,364.206675,374.262244,513.272775,322.145269,95.105399,56.452336,262.000571,191.55534
72,NODE_6022_length_2798_cov_11.974480,180.381046,257.498437,170.633385,380.505467,254.273947,139.691997,75.309724,422.069132,407.609758,390.341077,245.240781,96.437064,85.86004,250.041549,172.658245
73,NODE_6054_length_2789_cov_9.703731,180.997357,179.741605,205.454527,343.626289,153.082805,200.238503,100.7553,344.104115,197.449111,456.953205,284.935514,193.533281,143.587406,125.448042,346.497956
74,NODE_6939_length_2559_cov_10.687300,99.156659,147.708205,187.460088,397.459764,130.387455,131.575615,248.335827,522.086941,278.136478,309.925387,354.847162,106.026683,188.730377,171.816117,166.117477
75,NODE_8031_length_2343_cov_9.077360,190.653685,216.394236,205.801808,321.814003,265.895678,96.325205,212.166922,191.230332,339.528767,235.733287,311.980293,155.328208,138.191952,339.807828,260.775594
76,NODE_9600_length_2115_cov_12.022816,182.426208,271.774761,183.603886,333.638748,182.522608,134.320363,169.124212,391.42782,397.945362,336.231428,313.546299,216.752241,231.294197,147.52407,291.164976
